Data,,,,,,,,,,,,,,,,,,,,,
Customer ID,Order Date,Shipped Date,Ship City,Ship State/Province,Ship Country/Region,Shipping Fee,Payment Type,Paid Date,,,,,,,,,,,,,
27,15-01-2006,22-01-2006,Las Vegas,NV,USA,200,Check,15-01-2006,,Answer the following questions,,,,,,,,,,,
4,20-01-2006,22-01-2006,New York,NY,USA,5,Credit Card,20-01-2006,,1,Which payment type has the most orders,,,,,,,,,,
12,22-01-2006,22-01-2006,Las Vegas,NV,USA,5,Credit Card,22-01-2006,,2,During which month were the max orders paid,,,,,,,,,,
8,30-01-2006,31-01-2006,Portland,OR,USA,50,Credit Card,30-01-2006,,3,Which city are the majority of orders shipped from,,,,,,,,,,
4,06-02-2006,07-02-2006,New York,NY,USA,4,Check,06-02-2006,,4,Top 5 loyal customers,,,,,,,,,,
29,10-02-2006,12-02-2006,Denver,CO,USA,7,Check,10-02-2006,,,,,,,,,,,,,
3,23-02-2006,25-02-2006,Los Angelas,CA,USA,7,Cash,23-02-2006,,,,,,,,,,, ,,
6,06-03-2006,09-03-2006,Milwaukee,WI,USA,12,Credit Card,06-03-2006,,,,,,,,,,,,,
28,10-03-2006,11-03-2006,Memphis,TN,USA,10,Check,10-03-2006,,,Row Labels,Count of Order Date,,Row Labels,Count of Paid Date,,Row Labels,Count of Ship City,,Row Labels,Count of Order Date
8,22-03-2006,24-03-2006,Portland,OR,USA,5,Check,22-03-2006,,,Check,18,,Apr,15,,Portland,6,,8,6
10,24-03-2006,24-03-2006,Chicago,IL,USA,9,Credit Card,24-03-2006,,,Credit Card,16,,Jun,8,,Milwaukee,6,,6,6
7,24-03-2006,,Boise,ID,USA,0,,,,,(blank),10,,May,4,,Chicago,6,,4,5
10,24-03-2006,07-04-2006,Chicago,IL,USA,0,,,,,Cash,4,,Jan,4,,New York,5,,28,4
11,24-03-2006,,Miami,FL,USA,0,,,,,Grand Total,48,,Mar,4,,Miami,4,,29,4
1,24-03-2006,,Seattle,WA,USA,0,,,,,,,,Feb,3,,Denver,4,,10,4
28,07-04-2006,07-04-2006,Memphis,TN,USA,40,Credit Card,07-04-2006,,,,,,<15-01-2006,,,Las Vegas,4,,3,3
9,05-04-2006,05-04-2006,Salt Lake City,UT,USA,100,Check,05-04-2006,,,,,,Grand Total,38,,Memphis,4,,9,2
6,08-04-2006,08-04-2006,Milwaukee,WI,USA,300,Credit Card,08-04-2006,,,,,,,,,Los Angelas,3,,27,2
8,05-04-2006,05-04-2006,Portland,OR,USA,50,Check,05-04-2006,,,,,,,,,Salt Lake City,2,,26,2
25,05-04-2006,05-04-2006,Chicago,IL,USA,5,Cash,05-04-2006,,,,,,,,,Seattle,2,,11,2
26,05-04-2006,05-04-2006,Miami,FL,USA,60,Credit Card,05-04-2006,,,,,,,,,Boise,2,,1,2
29,05-04-2006,05-04-2006,Denver,CO,USA,200,Check,05-04-2006,,,,,,,,,Grand Total,48,,7,2
6,03-04-2006,03-04-2006,Milwaukee,WI,USA,0,Check,03-04-2006,,,,,,,,,,,,12,2
27,22-04-2006,22-04-2006,Las Vegas,NV,USA,200,Check,22-04-2006,,,,,,,,,,,,25,2
4,22-04-2006,22-04-2006,New York,NY,USA,5,Credit Card,22-04-2006,,,,,,,,,,,,Grand Total,48
12,22-04-2006,22-04-2006,Las Vegas,NV,USA,5,Credit Card,22-04-2006,,,,,,,,,,,,,
8,30-04-2006,30-04-2006,Portland,OR,USA,50,Credit Card,30-04-2006,,,,,,,,,,,,,
4,07-04-2006,07-04-2006,New York,NY,USA,4,Check,07-04-2006,,,,,,,,,,,,,
29,12-04-2006,12-04-2006,Denver,CO,USA,7,Check,12-04-2006,,,,,,,,,,,,,
3,25-04-2006,25-04-2006,Los Angelas,CA,USA,7,Cash,25-04-2006,,,,,,,,,,,,,
6,09-05-2006,09-05-2006,Milwaukee,WI,USA,12,Credit Card,09-05-2006,,,,,,,,,,,,,
28,11-05-2006,11-05-2006,Memphis,TN,USA,10,Check,11-05-2006,,,,,,,,,,,,,
8,24-05-2006,24-05-2006,Portland,OR,USA,5,Check,24-05-2006,,,,,,,,,,,,,
10,24-05-2006,24-05-2006,Chicago,IL,USA,9,Credit Card,24-05-2006,,,,,,,,,,,,,
7,24-05-2006,,Boise,ID,USA,0,,,,,,,,,,,,,,,
10,24-05-2006,,Chicago,IL,USA,0,,,,,,,,,,,,,,,
11,24-05-2006,,Miami,FL,USA,0,,,,,,,,,,,,,,,
1,24-05-2006,,Seattle,WA,USA,0,,,,,,,,,,,,,,,
28,07-06-2006,07-06-2006,Memphis,TN,USA,40,Credit Card,07-06-2006,,,,,,,,,,,,,
9,05-06-2006,05-06-2006,Salt Lake City,UT,USA,100,Check,05-06-2006,,,,,,,,,,,,,
6,08-06-2006,08-06-2006,Milwaukee,WI,USA,300,Credit Card,08-06-2006,,,,,,,,,,,,,
8,05-06-2006,05-06-2006,Portland,OR,USA,50,Check,05-06-2006,,,,,,,,,,,,,
25,05-06-2006,05-06-2006,Chicago,IL,USA,5,Cash,05-06-2006,,,,,,,,,,,,,
26,05-06-2006,05-06-2006,Miami,FL,USA,60,Credit Card,05-06-2006,,,,,,,,,,,,,
29,05-06-2006,05-06-2006,Denver,CO,USA,200,Check,05-06-2006,,,,,,,,,,,,,
6,23-06-2006,23-06-2006,Milwaukee,WI,USA,0,Check,23-06-2006,,,,,,,,,,,,,
4,25-04-2006,,New York,NY,USA,0,,,,,,,,,,,,,,,
3,25-04-2006,,Los Angelas,CA,USA,0,,,,,,,,,,,,,,,
